"version","match_id","match_run_time_in_ms","match_run_time","match_time_in_ms","event_id","player_seq_id","event_order","half_time","side","category","event","event_type","action_type","from_player_id","from_player_name","from_player_shirt_number","to_player_id","to_player_name","to_player_shirt_number","team_id","team_name","sequence_type","outcome","outcome_additional","opposition_touch","body_type","direction","pressure","style","style_additional","frame_location","game_state","game_period","game_period_additional","game_involvement","origin","origin_additional","save_type","save_detail","stance","x_frame","y_frame","movement","offering_to_receive_total_units","line_break_direction","line_break_outcome","team_shape","team_unit","team_units_broken","total_team_units","event_end_time_in_ms","x","x_mirrored","y","y_mirrored","x_location_start","x_location_start_mirrored","x_location_end","x_location_end_mirrored","y_location_start","y_location_start_mirrored","y_location_end","y_location_end_mirrored"
"v1.1",131909,0,"00:00:00",-159,1,1,1,1,"","referee_action","game_period_start","game_period_action","",0,"REFEREE","","","","",0,"TEAM REFEREES","","","","","","","","","","","","first_half","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"v1.1",131909,159,"00:00:00",0,2,2,1,1,"r","in_possession","kickoff","start_restart","",277429,"LARROQUETTE MARIANA",19,"","","",1884881,"ARGENTINA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.49942857142857144,0.5005714285714286,0.5032352941176471,0.4967647058823529,"","","","","","","",""
"v1.1",131909,159,"00:00:00",0,3,2,2,1,"r","in_possession","pass","distribution","",277429,"LARROQUETTE MARIANA",19,420318,"BENITEZ LORENA",16,1884881,"ARGENTINA","","possession_complete","","","right_foot","","no_pressure","push","","","","","","","","","","","","","","","","","no_line_break","","","","","",0.49942857142857144,0.5005714285714286,0.5032352941176471,0.4967647058823529,0.49942857142857144,0.5005714285714286,0.6076190476190476,0.3923809523809524,0.5032352941176471,0.4967647058823529,0.43058823529411766,0.5694117647058823
"v1.1",131909,1230,"00:00:01",1071,4,3,1,1,"r","in_possession","no_offer","offering_to_receive","",420318,"BENITEZ LORENA",16,"","","",1884881,"ARGENTINA","","","","","","","","","","","","","","","","","","","","","","no_movement",2,"","","","","","",1230,0.6084761904761905,0.3915238095238095,0.4189705882352941,0.5810294117647059,"","","","","","","",""
"v1.1",131909,1230,"00:00:01",1071,5,3,2,1,"r","in_possession","reception","receiving_possession","kickoff",420318,"BENITEZ LORENA",16,"","","",1884881,"ARGENTINA","","","","","","","no_pressure","","","","","","","","","","","","","","","","","","","inside","in_front","",2,"",0.6084761904761905,0.3915238095238095,0.4189705882352941,0.5810294117647059,"","","","","","","",""
"v1.1",131909,1250,"00:00:01",1091,6,2,3,1,"r","in_possession","possession_outcome","possession_outcome","",277429,"LARROQUETTE MARIANA",19,"","","",1884881,"ARGENTINA","possession","possession_complete","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.6076190476190476,0.3923809523809524,0.43058823529411766,0.5694117647058823,"","","","","","","",""
"v1.1",131909,2289,"00:00:03",2130,7,3,3,1,"r","in_possession","pass","distribution","",420318,"BENITEZ LORENA",16,420334,"STABILE ELIANA",3,1884881,"ARGENTINA","","possession_complete","","","right_foot","","no_pressure","push","","","","","","","","","","","","","","","","","no_line_break","","","","","",0.5945714285714285,0.40542857142857147,0.4067647058823529,0.5932352941176471,0.5945714285714285,0.40542857142857147,0.6606666666666666,0.3393333333333334,0.4067647058823529,0.5932352941176471,0.09838235294117648,0.9016176470588235
"v1.1",131909,2860,"00:00:03",2701,8,4,1,1,"l","out_of_possession","pushing_on","defensive_pressure","",420238,"BONANSEA BARBARA",8,"","","",1883722,"ITALY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0.5079047619047619,0.5079047619047619,0.25191176470588234,0.25191176470588234,"","","","","","","",""
"v1.1",131909,3909,"00:00:04",3750,9,5,1,1,"r","in_possession","offer","offering_to_receive","",420318,"BENITEZ LORENA",16,"","","",1884881,"ARGENTINA","","","","","","","","","","","","","","","","","","","","","","in_front",3,"","","inside","in_front","","",6440,0.5726666666666667,0.42733333333333334,0.37588235294117645,0.6241176470588236,0.58855,0.41145,0.5825714285714285,0.4174285714285715,0.26017,0.73983,0.2525,0.7475
"v1.1",131909,4620,"00:00:05",4461,10,4,2,1,"l","out_of_possession","pressing","defensive_pressure","",420238,"BONANSEA BARBARA",8,"","","",1883722,"ITALY","","","","","","shown_outside","indirect_pressure","","","","","","","","","","","","","","","","","","","","","","","",0.5635238095238095,0.5635238095238095,0.17073529411764707,0.17073529411764707,"","","","","","","",""
